artists,popularity,duration_ms,danceability,speechiness,acousticness,valence,tempo,track_genre
1901.0,68.0,223257.0,0.866,0.0719,0.177,0.695,129.039,chill
3885.0,58.0,298266.0,0.643,0.09,0.593,0.62,143.813,classical
24873.0,59.0,482586.0,0.484,0.164,0.365,0.68,91.975,classical
3886.0,54.0,219437.0,0.608,0.0292,0.581,0.439,140.109,classical
3885.0,68.0,299146.0,0.695,0.0431,0.596,0.637,143.804,classical
3890.0,59.0,387716.0,0.583,0.0465,0.581,0.241,118.226,classical
3885.0,62.0,298266.0,0.643,0.09,0.593,0.62,143.813,classical
3885.0,59.0,306626.0,0.642,0.0607,0.584,0.671,149.82,classical
16632.0,0.0,442400.0,0.23,0.0348,0.965,0.134,139.114,classical
29856.0,2.0,177000.0,0.496,0.0418,0.992,0.585,79.334,classical
29891.0,1.0,151080.0,0.355,0.0465,0.987,0.65,80.606,classical
10531.0,85.0,202093.0,0.658,0.0363,0.0933,0.166,100.966,club
10529.0,49.0,215973.0,0.627,0.0549,0.197,0.146,100.005,club
13042.0,65.0,188160.0,0.807,0.0631,0.00148,0.349,124.979,club
10528.0,59.0,233965.0,0.748,0.065,0.00268,0.197,101.033,club
15651.0,55.0,187173.0,0.683,0.0515,0.00088,0.219,123.983,club
24002.0,58.0,214634.0,0.714,0.0875,0.0137,0.631,123.037,club
30391.0,49.0,185142.0,0.774,0.0646,0.0318,0.0461,105.01,club
30391.0,55.0,199200.0,0.561,0.0825,0.0622,0.202,99.982,club
15983.0,48.0,203773.0,0.665,0.115,0.00758,0.0392,106.013,club
14223.0,52.0,170500.0,0.432,0.093,0.0509,0.262,123.074,club
13594.0,75.0,195693.0,0.823,0.307,0.42,0.876,90.302,comedy
15914.0,45.0,216631.0,0.755,0.224,0.147,0.755,133.123,comedy
15911.0,40.0,281500.0,0.694,0.05,0.639,0.676,95.941,comedy
738.0,69.0,197760.0,0.802,0.488,0.169,0.849,166.01,comedy
27362.0,63.0,166560.0,0.615,0.144,0.0188,0.808,167.995,comedy
15913.0,66.0,244339.0,0.829,0.037,0.203,0.397,114.955,comedy
15915.0,64.0,290835.0,0.858,0.23,0.114,0.364,98.013,comedy
13594.0,52.0,201493.0,0.662,0.316,0.284,0.69,169.914,comedy
27363.0,58.0,169506.0,0.762,0.0573,0.0191,0.639,131.22,comedy
15918.0,62.0,353959.0,0.684,0.362,0.432,0.537,128.882,comedy
6574.0,78.0,167693.0,0.654,0.0259,0.153,0.43,89.991,country
16707.0,0.0,236455.0,0.52,0.0551,0.171,0.519,156.044,country
27858.0,1.0,228320.0,0.59,0.0387,0.411,0.389,166.055,country
30423.0,3.0,228013.0,0.369,0.04,0.555,0.148,175.212,country
30423.0,4.0,228013.0,0.369,0.04,0.555,0.148,175.212,country
30423.0,4.0,228013.0,0.369,0.04,0.555,0.148,175.212,country
30423.0,2.0,228013.0,0.369,0.04,0.555,0.148,175.212,country
30423.0,2.0,228013.0,0.369,0.04,0.555,0.148,175.212,country
30423.0,1.0,228013.0,0.369,0.04,0.555,0.148,175.212,country
16707.0,2.0,225560.0,0.644,0.0464,0.0295,0.672,105.969,country
5271.0,96.0,184613.0,0.733,0.0427,0.0635,0.31,116.992,dance
24119.0,100.0,156943.0,0.714,0.0864,0.013,0.238,131.121,dance
14490.0,73.0,185815.0,0.722,0.132,0.185,0.721,140.094,dance
24493.0,83.0,221176.0,0.742,0.117,0.0466,0.463,102.04,dance
27069.0,84.0,244960.0,0.748,0.0338,0.414,0.661,95.01,dance
6362.0,84.0,205946.0,0.649,0.0349,0.0863,0.163,99.988,dance
28517.0,82.0,201538.0,0.578,0.0832,0.162,0.25,83.909,dance
8000.0,85.0,203064.0,0.702,0.0601,0.00883,0.915,102.977,dance
6849.0,98.0,175238.0,0.561,0.0343,0.00383,0.304,128.04,dance
2124.0,84.0,178626.0,0.778,0.334,0.592,0.327,140.048,dance
24493.0,83.0,221176.0,0.742,0.117,0.0466,0.463,102.04,dancehall
376.0,71.0,166000.0,0.733,0.301,0.575,0.485,88.742,dancehall
25726.0,74.0,154666.0,0.817,0.108,0.12,0.534,90.016,dancehall
25858.0,69.0,224727.0,0.684,0.0735,0.0271,0.549,95.083,dancehall
25726.0,69.0,154151.0,0.801,0.0986,0.109,0.578,89.999,dancehall
4300.0,4.0,172342.0,0.795,0.0948,0.131,0.55,87.925,dancehall
4316.0,2.0,189800.0,0.873,0.108,0.00858,0.483,104.033,dancehall
4300.0,2.0,185898.0,0.816,0.0425,0.692,0.937,99.95,dancehall
4314.0,0.0,197933.0,0.488,0.0901,0.138,0.415,132.45,dancehall
4300.0,0.0,172342.0,0.795,0.0948,0.131,0.55,87.925,dancehall
10815.0,60.0,271417.0,0.229,0.0537,1.67e-05,0.4,99.325,death-metal
5821.0,51.0,430733.0,0.428,0.0666,7.16e-05,0.225,118.306,death-metal
20581.0,52.0,208520.0,0.475,0.0317,0.595,0.183,134.368,death-metal
26167.0,60.0,192560.0,0.613,0.153,0.00018,0.213,119.976,death-metal
6997.0,58.0,223933.0,0.158,0.0346,0.000926,0.347,79.176,death-metal
5821.0,54.0,302360.0,0.462,0.0438,0.00066,0.253,122.925,death-metal
12341.0,43.0,265012.0,0.44,0.0527,0.000947,0.446,165.964,death-metal
10815.0,59.0,300783.0,0.382,0.0417,0.00038,0.513,181.933,death-metal
12341.0,39.0,190180.0,0.395,0.0651,0.000785,0.123,176.838,death-metal
25323.0,65.0,255186.0,0.227,0.173,0.000405,0.0363,87.499,death-metal
26862.0,69.0,210853.0,0.74,0.0456,0.444,0.448,121.034,deep-house
7057.0,67.0,170562.0,0.727,0.0345,0.202,0.699,100.002,deep-house
12863.0,90.0,186661.0,0.847,0.0493,0.0127,0.692,125.004,deep-house
25818.0,64.0,222040.0,0.67,0.036,0.0607,0.726,105.002,deep-house
23209.0,76.0,219043.0,0.636,0.0581,0.0185,0.636,123.063,deep-house
26372.0,60.0,181935.0,0.628,0.0313,0.168,0.331,123.973,deep-house
27269.0,61.0,193103.0,0.491,0.0796,0.0699,0.279,173.846,deep-house
11240.0,64.0,160686.0,0.808,0.0526,0.0602,0.865,123.985,deep-house
26862.0,53.0,333333.0,0.732,0.0475,0.232,0.334,152.634,deep-house
7052.0,59.0,135642.0,0.741,0.0328,0.307,0.884,108.055,deep-house
20361.0,52.0,518945.0,0.763,0.0545,0.264,0.496,128.24,detroit-techno
6015.0,43.0,294533.0,0.802,0.0624,0.000231,0.336,125.284,detroit-techno
7856.0,23.0,185600.0,0.785,0.149,0.0126,0.204,134.373,detroit-techno
12408.0,54.0,196363.0,0.65,0.0563,0.000943,0.77,120.941,detroit-techno
13041.0,39.0,282266.0,0.788,0.0548,0.449,0.405,117.813,detroit-techno
19036.0,50.0,343000.0,0.621,0.219,0.108,0.14,183.391,detroit-techno
13144.0,45.0,285413.0,0.616,0.114,0.000372,0.772,137.514,detroit-techno
12408.0,58.0,244773.0,0.716,0.0496,0.172,0.952,121.306,detroit-techno
19035.0,46.0,556280.0,0.797,0.0495,0.0692,0.536,119.988,detroit-techno
4679.0,38.0,410040.0,0.386,0.0485,0.0178,0.174,122.997,detroit-techno
8236.0,83.0,215093.0,0.697,0.0298,0.168,0.979,125.926,disco
18937.0,78.0,307153.0,0.72,0.0379,0.00793,0.869,126.041,disco
3908.0,70.0,220666.0,0.69,0.0455,0.463,0.97,126.005,disco
10388.0,71.0,242678.0,0.553,0.0306,0.764,0.345,136.628,disco
853.0,42.0,248236.0,0.751,0.0437,0.0479,0.535,127.953,disco
3908.0,72.0,208600.0,0.763,0.0364,0.281,0.929,124.431,disco
3819.0,73.0,178304.0,0.771,0.0584,0.00596,0.895,127.008,disco
3213.0,77.0,92866.0,0.707,0.0436,0.113,0.641,103.644,disco
23014.0,45.0,213573.0,0.721,0.0376,0.115,0.914,113.309,disco
3213.0,80.0,285373.0,0.702,0.0343,0.0288,0.953,103.564,disco
3567.0,58.0,251520.0,0.53,0.218,0.274,0.575,81.854,disney
22577.0,71.0,124160.0,0.689,0.0307,0.817,0.471,115.835,disney
13349.0,70.0,195493.0,0.274,0.0482,0.92,0.302,61.551,disney
4819.0,55.0,52866.0,0.655,0.0489,0.423,0.66,92.968,disney
2539.0,49.0,163386.0,0.571,0.0499,0.649,0.108,83.72,disney
897.0,52.0,140160.0,0.27,0.093,0.0972,0.463,157.24,disney
942.0,56.0,165533.0,0.46,0.112,0.318,0.37,67.697,disney
16031.0,56.0,241800.0,0.297,0.0378,0.412,0.496,81.425,disney
3566.0,60.0,84720.0,0.686,0.223,0.856,0.923,137.953,disney
4736.0,67.0,239146.0,0.402,0.0406,0.0634,0.568,83.789,disney
25126.0,55.0,204444.0,0.584,0.0465,0.0649,0.238,134.882,drum-and-bass
