explicit,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,track_genre
0.0,0.462,0.905,0.0438,0.00066,0.0402,0.0839,0.253,3.0,22
0.0,0.44,0.71,0.0527,0.000947,0.0267,0.326,0.446,4.0,22
0.0,0.382,0.954,0.0417,0.00038,0.776,0.244,0.513,4.0,22
1.0,0.395,0.84,0.0651,0.000785,4.92e-05,0.316,0.123,4.0,22
0.0,0.227,0.995,0.173,0.000405,0.393,0.127,0.0363,4.0,22
0.0,0.74,0.831,0.0456,0.444,0.00304,0.0769,0.448,4.0,23
0.0,0.727,0.69,0.0345,0.202,3.27e-06,0.414,0.699,4.0,23
0.0,0.847,0.69,0.0493,0.0127,6e-05,0.0526,0.692,4.0,23
0.0,0.67,0.839,0.036,0.0607,0.000764,0.159,0.726,4.0,23
0.0,0.636,0.815,0.0581,0.0185,0.0,0.163,0.636,4.0,23
0.0,0.628,0.883,0.0313,0.168,0.696,0.0693,0.331,4.0,23
0.0,0.491,0.612,0.0796,0.0699,0.0,0.0946,0.279,4.0,23
1.0,0.808,0.737,0.0526,0.0602,1.12e-06,0.704,0.865,4.0,23
1.0,0.732,0.501,0.0475,0.232,0.191,0.0937,0.334,4.0,23
0.0,0.741,0.564,0.0328,0.307,0.0,0.171,0.884,4.0,23
0.0,0.763,0.81,0.0545,0.264,0.000563,0.0823,0.496,4.0,24
0.0,0.802,0.637,0.0624,0.000231,0.831,0.587,0.336,4.0,24
0.0,0.785,0.713,0.149,0.0126,0.765,0.072,0.204,4.0,24
0.0,0.65,0.921,0.0563,0.000943,0.619,0.0588,0.77,4.0,24
0.0,0.788,0.887,0.0548,0.449,0.896,0.11,0.405,4.0,24
0.0,0.621,0.485,0.219,0.108,0.13,0.156,0.14,4.0,24
0.0,0.616,0.995,0.114,0.000372,0.952,0.112,0.772,4.0,24
0.0,0.716,0.783,0.0496,0.172,0.0346,0.0327,0.952,4.0,24
0.0,0.797,0.343,0.0495,0.0692,0.362,0.479,0.536,4.0,24
0.0,0.386,0.489,0.0485,0.0178,0.9,0.112,0.174,4.0,24
0.0,0.697,0.832,0.0298,0.168,0.00131,0.269,0.979,4.0,25
0.0,0.72,0.808,0.0379,0.00793,0.0293,0.0634,0.869,4.0,25
0.0,0.69,0.752,0.0455,0.463,0.00102,0.595,0.97,4.0,25
0.0,0.553,0.614,0.0306,0.764,0.0,0.0811,0.345,4.0,25
0.0,0.751,0.636,0.0437,0.0479,0.0,0.354,0.535,4.0,25
0.0,0.763,0.777,0.0364,0.281,0.79,0.134,0.929,4.0,25
0.0,0.771,0.883,0.0584,0.00596,0.00607,0.135,0.895,4.0,25
0.0,0.707,0.535,0.0436,0.113,0.00615,0.0884,0.641,4.0,25
0.0,0.721,0.939,0.0376,0.115,3.79e-05,0.108,0.914,4.0,25
0.0,0.702,0.773,0.0343,0.0288,0.00871,0.147,0.953,4.0,25
0.0,0.53,0.584,0.218,0.274,0.0,0.158,0.575,4.0,26
0.0,0.689,0.333,0.0307,0.817,5.13e-06,0.285,0.471,4.0,26
0.0,0.274,0.144,0.0482,0.92,0.000388,0.29,0.302,5.0,26
0.0,0.655,0.789,0.0489,0.423,0.0,0.13,0.66,4.0,26
0.0,0.571,0.307,0.0499,0.649,0.0,0.178,0.108,4.0,26
0.0,0.27,0.623,0.093,0.0972,0.349,0.267,0.463,3.0,26
0.0,0.46,0.574,0.112,0.318,0.0,0.1,0.37,4.0,26
0.0,0.297,0.518,0.0378,0.412,1.1e-05,0.298,0.496,4.0,26
0.0,0.686,0.379,0.223,0.856,0.0,0.103,0.923,4.0,26
0.0,0.402,0.391,0.0406,0.0634,0.0,0.296,0.568,4.0,26
0.0,0.584,0.805,0.0465,0.0649,0.0,0.103,0.238,4.0,27
0.0,0.686,0.756,0.0374,0.0314,0.0234,0.154,0.345,4.0,27
1.0,0.709,0.784,0.1,0.23,0.0,0.147,0.584,4.0,27
0.0,0.521,0.55,0.0709,0.0029,0.171,0.0955,0.0391,4.0,27
0.0,0.416,0.506,0.1,0.0404,0.0202,0.11,0.0613,4.0,27
0.0,0.516,0.915,0.0562,0.0228,0.000789,0.125,0.0398,4.0,27
0.0,0.588,0.896,0.0525,0.00152,0.00159,0.072,0.112,4.0,27
0.0,0.451,0.948,0.147,0.255,0.0,0.392,0.295,4.0,27
0.0,0.454,0.782,0.0498,0.0342,0.0,0.173,0.286,4.0,27
0.0,0.667,0.747,0.122,0.0333,0.00112,0.362,0.59,4.0,27
0.0,0.352,0.666,0.0512,0.117,1.81e-06,0.0934,0.227,4.0,28
0.0,0.643,0.594,0.0318,0.0128,0.0,0.118,0.442,4.0,28
0.0,0.534,0.839,0.053,0.0698,0.0,0.264,0.576,4.0,28
0.0,0.452,0.465,0.0344,0.0589,0.000524,0.095,0.0832,4.0,28
0.0,0.494,0.651,0.0384,0.0819,0.0,0.104,0.162,4.0,28
0.0,0.404,0.789,0.0566,0.0243,0.000231,0.226,0.159,4.0,28
0.0,0.352,0.666,0.0512,0.117,1.81e-06,0.0934,0.227,4.0,28
0.0,0.526,0.667,0.0437,0.0505,0.0,0.321,0.43,4.0,28
0.0,0.428,0.907,0.163,0.00594,1.71e-06,0.129,0.244,4.0,28
0.0,0.4,0.485,0.0369,0.0789,0.0,0.135,0.211,3.0,28
0.0,0.352,0.666,0.0512,0.117,1.81e-06,0.0934,0.227,4.0,29
0.0,0.643,0.594,0.0318,0.0128,0.0,0.118,0.442,4.0,29
0.0,0.534,0.839,0.053,0.0698,0.0,0.264,0.576,4.0,29
0.0,0.526,0.667,0.0437,0.0505,0.0,0.321,0.43,4.0,29
0.0,0.452,0.465,0.0344,0.0589,0.000524,0.095,0.0832,4.0,29
0.0,0.404,0.789,0.0566,0.0243,0.000231,0.226,0.159,4.0,29
0.0,0.352,0.666,0.0512,0.117,1.81e-06,0.0934,0.227,4.0,29
0.0,0.494,0.651,0.0384,0.0819,0.0,0.104,0.162,4.0,29
0.0,0.428,0.907,0.163,0.00594,1.71e-06,0.129,0.244,4.0,29
0.0,0.682,0.543,0.0688,0.261,0.0,0.108,0.112,4.0,29
0.0,0.748,0.524,0.0338,0.414,0.0,0.111,0.661,4.0,30
0.0,0.649,0.716,0.0349,0.0863,2.63e-05,0.135,0.163,4.0,30
0.0,0.489,0.597,0.0292,0.27,0.0,0.105,0.324,4.0,30
1.0,0.561,0.965,0.0343,0.00383,7.07e-06,0.371,0.304,4.0,30
0.0,0.786,0.667,0.054,0.0112,0.053,0.074,0.688,4.0,30
0.0,0.451,0.692,0.0398,0.287,0.0,0.115,0.423,4.0,30
0.0,0.595,0.817,0.0474,0.000712,0.0386,0.142,0.483,4.0,30
0.0,0.889,0.341,0.0424,0.117,3.7e-06,0.0734,0.942,4.0,30
0.0,0.678,0.449,0.0869,0.477,0.0,0.536,0.606,4.0,30
1.0,0.626,0.88,0.0504,0.205,0.0,0.128,0.534,4.0,30
0.0,0.748,0.524,0.0338,0.414,0.0,0.111,0.661,4.0,31
0.0,0.795,0.178,0.0574,0.607,0.0,0.623,0.608,4.0,31
0.0,0.649,0.716,0.0349,0.0863,2.63e-05,0.135,0.163,4.0,31
1.0,0.752,0.488,0.0705,0.297,9.11e-06,0.0936,0.533,4.0,31
0.0,0.758,0.573,0.0428,0.0888,0.000677,0.0834,0.284,4.0,31
1.0,0.752,0.488,0.0705,0.297,9.11e-06,0.0936,0.533,4.0,31
0.0,0.489,0.597,0.0292,0.27,0.0,0.105,0.324,4.0,31
1.0,0.68,0.729,0.0475,0.612,0.0,0.224,0.446,4.0,31
1.0,0.718,0.422,0.0621,0.0764,0.0,0.17,0.455,4.0,31
0.0,0.687,0.792,0.0452,0.191,0.0,0.167,0.671,4.0,31
0.0,0.663,0.578,0.0687,0.312,0.906,0.109,0.553,4.0,32
0.0,0.784,0.757,0.0384,0.495,1.18e-06,0.142,0.587,4.0,32
0.0,0.583,0.695,0.0423,0.0141,0.0,0.0527,0.224,4.0,32
0.0,0.737,0.458,0.0317,0.601,6.98e-06,0.138,0.456,4.0,32
